gamma_mN_m,mu_mPa_s,We,Oh,Bo,cor
72.8,8,0.0396169,0.0542146,0.0120914,0.875187
72.8,8,0.0503828,0.0542146,0.0120914,0.868884
72.8,8,0.0640744,0.0542146,0.0120914,0.861069
72.8,8,0.0814868,0.0542146,0.0120914,0.851563
72.8,8,0.103631,0.0542146,0.0120914,0.840205
72.8,8,0.131793,0.0542146,0.0120914,0.826852
72.8,8,0.167608,0.0542146,0.0120914,0.811405
72.8,8,0.213155,0.0542146,0.0120914,0.79384
72.8,8,0.271081,0.0542146,0.0120914,0.774183
72.8,8,0.344747,0.0542146,0.0120914,0.752563
72.8,8,0.438433,0.0542146,0.0120914,0.729196
72.8,8,0.557578,0.0542146,0.0120914,0.70436
72.8,8,0.7091,0.0542146,0.0120914,0.678377
72.8,8,0.901799,0.0542146,0.0120914,0.651586
72.8,8,1.14686,0.0542146,0.0120914,0.624329
72.8,8,1.45853,0.0542146,0.0120914,0.596933
72.8,8,1.85488,0.0542146,0.0120914,0.569688
72.8,8,2.35895,0.0542146,0.0120914,0.542851
72.8,8,3,0.0542146,0.0120914,0.516636
